订单交易时间,订单编号,订单来源,用户ID,会员,首次下单用户,性别,品类,商品单价,购买数量,活动优惠,换货,退货,已评价
2023-01-01,GNIW4174472,直播下单,YS940276,否,否,女,A,119,1,无,0,0,1
2023-01-01,UQNV753441,店铺下单,YY60341,否,是,女,D,59,1,无,0,1,1
2023-01-01,ZSES6481292,直播下单,LE367522,否,是,女,A,119,1,无,0,0,1
2023-01-01,PTDZ3789444,直播下单,UY543729,否,是,女,C,79,1,无,0,0,1
2023-01-01,AVTA3716825,店铺下单,RP810594,否,是,女,A,119,1,无,0,0,0
2023-01-01,BCQW5999561,直播下单,EO757890,是,否,女,A,119,1,无,0,0,1
2023-01-01,JNJP2329013,店铺下单,RU662036,是,否,女,D,59,1,无,0,0,0
2023-01-01,IPLD5145975,店铺下单,VG628821,否,否,女,D,59,1,无,1,0,1
2023-01-01,ZZYZ6940849,店铺下单,OS191606,否,否,男,B,199,2,无,0,0,1
2023-01-01,BADR7565631,店铺下单,HU993700,否,是,女,D,59,1,无,0,1,1
2023-01-02,DNUV8476886,店铺下单,DE902831,否,是,女,D,59,1,无,0,0,1
2023-01-02,XELB4340333,直播下单,OI398036,否,是,男,C,79,1,无,0,0,0
2023-01-02,PWYX3095372,店铺下单,YN234657,否,是,男,D,59,1,无,0,0,1
2023-01-02,NDED5496381,店铺下单,UD510688,是,否,男,C,79,1,无,0,0,0
2023-01-02,YBRQ4799124,店铺下单,NC634157,否,是,女,A,119,1,无,0,0,1
2023-01-02,LPKH5221911,店铺下单,ZJ695118,是,否,男,C,79,1,无,0,0,1
2023-01-02,CRCS4212422,直播下单,WP170403,否,是,女,D,59,1,无,0,0,1
2023-01-02,PGUZ6588243,店铺下单,SG1883,是,否,男,C,79,3,无,0,1,0
2023-01-03,DSEY2138425,直播下单,WL367719,是,否,男,A,119,1,无,0,0,0
2023-01-03,TDLD7395683,店铺下单,EU226130,否,是,女,C,79,1,无,0,0,1
2023-01-03,WLPH5016646,直播下单,KL434529,否,是,女,B,199,1,无,0,0,0
2023-01-03,BGQD4438873,店铺下单,UQ638018,否,是,女,A,119,1,无,0,0,1
2023-01-03,OBWI1378271,店铺下单,PN26034,是,否,女,A,119,1,有,0,0,1
2023-01-03,XPVV8116813,店铺下单,ML889315,否,否,女,A,119,1,无,0,0,1
2023-01-03,XMPT7796836,店铺下单,ST677087,是,否,女,A,119,1,无,0,0,1
2023-01-03,EUIS2412745,直播下单,NA902330,否,是,男,A,119,1,无,0,0,1
2023-01-03,KPOC9572588,店铺下单,HA212758,是,否,女,A,119,1,无,0,0,1
2023-01-04,UKKD5025011,店铺下单,YT205973,否,是,女,A,119,1,无,0,1,1
2023-01-04,EQEI9807028,直播下单,KJ791915,是,否,女,A,119,1,无,0,0,1
2023-01-04,WHCP5257745,店铺下单,SC531805,是,否,女,C,79,2,无,0,0,1
2023-01-04,BUNG6126236,直播下单,CV28176,是,否,女,C,79,1,有,0,0,1
2023-01-04,GDEY2435168,店铺下单,ZZ246324,否,是,女,C,79,1,无,0,0,0
2023-01-04,AENB3502468,直播下单,CD212657,否,是,女,A,119,1,无,0,0,1
2023-01-04,UELD8793161,直播下单,ZH443394,否,是,女,A,119,1,无,0,0,0
2023-01-05,RHKP2647610,直播下单,VE999854,是,否,女,C,79,1,有,0,0,1
2023-01-05,AIUP2505018,店铺下单,QT363264,否,否,女,C,79,1,无,0,0,0
2023-01-05,OSQF8736656,直播下单,OL116356,是,否,女,B,199,1,无,0,0,1
2023-01-05,VBEE3086269,直播下单,TA879293,否,是,女,A,119,1,无,0,0,1
2023-01-05,PXQQ6475028,店铺下单,HW220456,否,是,女,A,119,1,无,0,0,0
2023-01-05,TLJO3639753,店铺下单,JQ191662,是,否,女,A,119,1,无,0,0,0
2023-01-06,JONA3348144,直播下单,PY502275,否,是,女,A,119,1,无,0,0,1
2023-01-06,HAWL7878321,店铺下单,PP761389,否,是,女,C,79,1,无,0,1,1
